"lat";"lon";"weight"
52.8657;-132.2361;0
49.977;-130.1309;0
60.8503;-67.2947;0
51.6182;-130.7508;0
59.9944;-141.3966;0
61.1917;-140.5759;0
49.6221;-66.3438;0
48.4752;-121.8267;0
49.5722;-67.1913;0
47.6295;-70.1059;0
49.5811;-67.1935;0
46.1161;-77.2112;0
53.8541;-132.1594;0
48.0269;-124.9369;0
47.4861;-70.3871;0
46.1165;-75.6983;0
49.8224;-125.9987;0
59.8852;-139.2923;0
53.2206;-133.0028;0
49.042;-113.8362;0
49.4803;-122.4238;0
49.6502;-67.0646;0
49.1606;-123.4802;0
48.8159;-125.1379;0
48.5912;-122.9667;0
50.0209;-123.6761;0
52.7536;-132.3488;0
45.7187;-80.5197;0
56.2534;-120.9531;0
58.462;-137.5185;0
49.4966;-127.0914;0
53.7053;-127.0516;0
49.6216;-66.3849;0
49.3642;-124.0101;0
52.9103;-132.5892;0
46.5322;-90.2256;0
53.0851;-132.3282;0
49.9912;-123.6858;0
46.0596;-57.9781;0
47.6585;-69.9599;0
50.0102;-123.679;0
53.1836;-133.5224;0
47.5341;-70.4057;0
47.8971;-113.7289;0
47.6005;-69.9364;0
53.6861;-134.9012;0
48.0782;-125.0484;0
50.4656;-130.2573;0
47.0916;-76.2609;0
50.9596;-130.5959;0
48.6036;-122.6115;0
50.5447;-125.8663;0
73.1693;-90.5231;0
49.9996;-123.6787;0
50.0145;-123.6768;0
50.0268;-123.6755;0
45.7814;-74.4777;0
48.2684;-122.7891;0
50.014;-123.6539;0
47.3939;-70.3008;0
53.0166;-132.6057;0
53.4438;-134.4795;0
47.7388;-122.5541;0
47.5735;-70.2397;0
47.5708;-70.019;0
50.13;-71.3505;0
46.1172;-75.6699;0
47.5801;-70.2629;0
47.5965;-70.2859;0
52.8524;-132.5422;0
52.6533;-131.6698;0
47.6214;-69.8861;0
45.8158;-74.996;0
48.8482;-121.4847;0
48.1626;-124.5754;0
62.743;-75.564;0
49.3354;-128.2243;0
50.6058;-130.3552;0
50.0112;-123.6747;0
59.2656;-142.3843;0
52.4664;-131.8415;0
50.8482;-58.0467;0
65.6012;-85.6783;0
45.6829;-75.8117;0
47.6135;-119.3117;0
52.6958;-132.3395;0
47.4179;-70.3269;0
53.3308;-132.6543;0
60.1957;-141.0078;0
49.0289;-128.7223;0
60.0724;-139.2497;0
48.8259;-129.1314;0
52.441;-131.9024;0
48.8431;-129.1929;0
48.8565;-129.1127;0
47.0063;-77.7881;0
49.1689;-127.8593;0
48.7614;-129.2454;0
50.4458;-130.1022;0
48.0708;-71.4877;0
52.5868;-131.9063;0
45.7258;-76.2628;0
49.5627;-126.1863;0
48.4276;-124.6482;0
49.2576;-122.3805;0
46.5445;-76.6413;0
53.2509;-133.0129;0
49.9853;-127.6549;0
48.4325;-124.6524;0
49.4792;-66.8203;0
48.776;-128.5432;0
48.8173;-128.6196;0
48.7664;-128.5714;0
45.7698;-74.9391;0
58.5028;-71.8766;0
48.7771;-128.5735;0
62.2593;-141.6514;0
49.4356;-67.0958;0
47.7031;-119.9514;0
71.5157;-135.2802;0
43.3729;-78.2289;0
52.2457;-119.2794;0
50.0056;-123.6795;0
50.0075;-123.6735;0
50.0602;-123.6432;0
51.5589;-68.8877;0
52.6576;-131.8953;0
47.1507;-70.6236;0
61.205;-140.8913;0
48.865;-122.6723;0
50.0474;-123.6371;0
49.7598;-127.3066;0
53.2186;-132.6569;0
49.4653;-127.6678;0
53.079;-131.7595;0
47.638;-65.8988;0
62.0047;-134.793;0
47.5151;-69.9491;0
48.7257;-123.5098;0
58.1069;-138.4178;0
53.273;-132.5991;0
48.741;-123.5536;0
48.7445;-123.5309;0
48.9033;-125.7287;0
52.8716;-132.2138;0
52.6602;-132.0961;0
52.6604;-132.0978;0
52.6633;-132.0763;0
49.6299;-66.354;0
48.4466;-122.4754;0
47.4164;-70.3173;0
48.8008;-128.7184;0
